0.00, 0.47, 0.49, 0.49, 0.47, 0.47, 0.51, 0.51, 0.51
0.53, 0.00, 0.50, 0.53, 0.48, 0.49, 0.53, 0.49, 0.49
0.51, 0.50, 0.00, 0.47, 0.43, 0.49, 0.49, 0.57, 0.57
0.51, 0.47, 0.53, 0.00, 0.47, 0.55, 0.48, 0.50, 0.50
0.53, 0.52, 0.57, 0.53, 0.00, 0.52, 0.55, 0.51, 0.51
0.53, 0.51, 0.51, 0.45, 0.48, 0.00, 0.50, 0.58, 0.58
0.49, 0.47, 0.51, 0.52, 0.45, 0.50, 0.00, 0.45, 0.45
0.49, 0.51, 0.43, 0.50, 0.49, 0.42, 0.55, 0.00, 0.00
0.54, 0.52, 0.50, 0.48, 0.53, 0.55, 0.50, 0.52, 0.52
