0.00, 0.45, 0.46, 0.48, 0.49, 0.46, 0.47, 0.51, 0.42, 0.42
0.55, 0.00, 0.46, 0.48, 0.44, 0.46, 0.51, 0.52, 0.50, 0.50
0.54, 0.54, 0.00, 0.50, 0.48, 0.46, 0.49, 0.51, 0.53, 0.53
0.52, 0.52, 0.50, 0.00, 0.49, 0.49, 0.53, 0.50, 0.47, 0.47
0.51, 0.56, 0.52, 0.51, 0.00, 0.52, 0.54, 0.55, 0.51, 0.51
0.54, 0.54, 0.54, 0.51, 0.48, 0.00, 0.49, 0.52, 0.45, 0.45
0.53, 0.49, 0.51, 0.47, 0.46, 0.51, 0.00, 0.54, 0.47, 0.47
0.49, 0.48, 0.49, 0.50, 0.45, 0.48, 0.46, 0.00, 0.49, 0.49
0.58, 0.50, 0.47, 0.53, 0.49, 0.55, 0.53, 0.51, 0.00, 0.00
0.47, 0.48, 0.49, 0.51, 0.48, 0.50, 0.52, 0.55, 0.44, 0.44
