0.00, 0.48, 0.45, 0.49, 0.54, 0.49, 0.52, 0.52, 0.49, 0.43, 0.43
0.52, 0.00, 0.48, 0.51, 0.52, 0.45, 0.53, 0.50, 0.52, 0.49, 0.49
0.55, 0.52, 0.00, 0.55, 0.57, 0.51, 0.55, 0.56, 0.51, 0.51, 0.51
0.51, 0.49, 0.45, 0.00, 0.52, 0.50, 0.50, 0.52, 0.51, 0.45, 0.45
0.46, 0.48, 0.43, 0.48, 0.00, 0.44, 0.49, 0.47, 0.52, 0.49, 0.49
0.51, 0.55, 0.49, 0.50, 0.56, 0.00, 0.55, 0.55, 0.54, 0.53, 0.53
0.48, 0.47, 0.45, 0.50, 0.51, 0.45, 0.00, 0.48, 0.46, 0.46, 0.46
0.48, 0.50, 0.44, 0.48, 0.53, 0.45, 0.52, 0.00, 0.47, 0.45, 0.45
0.51, 0.48, 0.49, 0.49, 0.48, 0.46, 0.54, 0.53, 0.00, 0.44, 0.44
0.57, 0.51, 0.49, 0.55, 0.51, 0.47, 0.54, 0.55, 0.56, 0.00, 0.00
0.54, 0.50, 0.47, 0.55, 0.53, 0.46, 0.52, 0.53, 0.46, 0.47, 0.47
